file_url,dataset_uuid,file_format
https://catalog.data.gov/dataset/national-energy-inventory-2013-fa209577/resource/3af2174e-6e28-4b4d-bf70-59aa78978b5a.xml,fa209577-adb8-4db9-9269-dbf15e670ea2,XML
https://catalog.data.gov/dataset/national-energy-inventory-2013-fa209577/resource/739e0a3b-123d-4854-88c3-912fc95538ad.kml,fa209577-adb8-4db9-9269-dbf15e670ea2,KML
https://catalog.data.gov/dataset/business-monitoring-records-2019-01227479/resource/3cf031c9-8d50-43bd-b223-acba60ba5d1a.json,01227479-b45e-4d0a-878d-bf65d527aba2,JSON
https://catalog.data.gov/dataset/annual-geospatial-report-u-s-fish-and-ffdae75f/resource/b75b4693-a890-4818-b0d4-c0ffca32ebea.csv,ffdae75f-73ae-4b0e-bdbf-fff6218748d9,CSV
https://catalog.data.gov/dataset/public-safety-indicators-dashboard-8c38da32/resource/2a8ab3a5-e396-4963-acf2-d44f3296cd3e.api,8c38da32-d0ca-43f4-b620-d7a66ff0b26d,API
https://catalog.data.gov/dataset/public-safety-indicators-dashboard-8c38da32/resource/8fdecde0-f409-4edb-97be-7f5b4e217eca.zip,8c38da32-d0ca-43f4-b620-d7a66ff0b26d,ZIP
https://catalog.data.gov/dataset/climate-statistics-by-zip-code-2022-52d16442/resource/c98d830e-0d36-489b-aa8e-16e7fe56610b.geojson,52d16442-8526-4928-94c4-bfe9238ecbdd,GeoJSON
https://catalog.data.gov/dataset/climate-statistics-by-zip-code-2022-52d16442/resource/52bee187-f032-4b02-82e8-37315a21a263.xlsx,52d16442-8526-4928-94c4-bfe9238ecbdd,XLSX
https://catalog.data.gov/dataset/climate-statistics-by-zip-code-2022-52d16442/resource/a2f1656c-cd9e-4cc8-859b-237a3c2f9ce2.geojson,52d16442-8526-4928-94c4-bfe9238ecbdd,GeoJSON
https://catalog.data.gov/dataset/climate-statistics-by-zip-code-2022-52d16442/resource/dea78aa7-ec08-4c23-8831-104b1942f6f6.xml,52d16442-8526-4928-94c4-bfe9238ecbdd,XML
https://catalog.data.gov/dataset/regional-labor-trends-2017-2018-50488051/resource/967716fd-94b3-4d2c-8976-060e2b2f61ee.rdf,50488051-16ec-406a-9a3e-e850e168723a,RDF
https://catalog.data.gov/dataset/regional-labor-trends-2017-2018-50488051/resource/ddb97e00-af28-4fa1-ac1d-d954f1846636.api,50488051-16ec-406a-9a3e-e850e168723a,API
https://catalog.data.gov/dataset/regional-labor-trends-2017-2018-50488051/resource/f819e694-286b-4d54-a382-3063460c6746.kml,50488051-16ec-406a-9a3e-e850e168723a,KML
https://catalog.data.gov/dataset/regional-labor-trends-2017-2018-50488051/resource/dfb053fc-9922-4bfe-9c7e-51b32cf20b6e.xlsx,50488051-16ec-406a-9a3e-e850e168723a,XLSX
https://catalog.data.gov/dataset/health-statistics-by-city-level-2021-18573888/resource/28484a01-fc6a-45d0-bdd9-de4166c2ea15.geojson,18573888-303a-41ea-a0da-8e48ec3cc92d,GeoJSON
https://catalog.data.gov/dataset/health-statistics-by-city-level-2021-18573888/resource/b5d14bd5-7355-4d00-b8c7-9f9699267ba5.pdf,18573888-303a-41ea-a0da-8e48ec3cc92d,PDF
https://catalog.data.gov/dataset/national-energy-inventory-2013-841d151f/resource/979e5cf8-f0c3-4bf6-9917-4e9c5d3a7381.xlsx,841d151f-306d-4e5e-a504-b56b5450909f,XLSX
https://catalog.data.gov/dataset/national-energy-inventory-2013-841d151f/resource/1d00376f-5ace-4d6d-b7f4-75a82903d586.kml,841d151f-306d-4e5e-a504-b56b5450909f,KML
https://catalog.data.gov/dataset/regional-water-trends-2017-2018-62b712f3/resource/73f120a3-7378-4a29-965b-20155d987ae5.xml,62b712f3-2fab-4bc7-8738-ea0d82bf589d,XML
https://catalog.data.gov/dataset/labor-monitoring-records-2013-d80b3115/resource/1556d15d-ec75-4fa2-90db-06c2a51a617a.json,d80b3115-3e59-4bbc-86a9-46bc1eea5d24,JSON
https://catalog.data.gov/dataset/u-s-department-of-open-data-energy-12b5fa47/resource/3457e7de-ad88-447f-a3ea-2c4a6233a920.json,12b5fa47-9e28-45c4-b7e9-14d0db93b240,JSON
https://catalog.data.gov/dataset/u-s-department-of-open-data-energy-12b5fa47/resource/f0a43b88-c128-4e8d-8da7-bf3594ad7051.api,12b5fa47-9e28-45c4-b7e9-14d0db93b240,API
https://catalog.data.gov/dataset/housing-statistics-by-metropolitan-2012-4d0ccc8d/resource/b7762b36-2252-4fda-8437-46e7dd72003a.csv,4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,CSV
https://catalog.data.gov/dataset/housing-statistics-by-metropolitan-2012-4d0ccc8d/resource/aa7dd841-b901-4c43-b66f-c5ef593f7d2d.rdf,4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,RDF
https://catalog.data.gov/dataset/state-level-health-trends-2011-2012-150c9202/resource/8b82bf09-d2ac-4c97-aa05-5255dc1622ce.zip,150c9202-d04e-43c1-bc53-6780d162ef4d,ZIP
https://catalog.data.gov/dataset/national-institutes-of-public-safety-dataset-2020-2b6e21c7/resource/8db7a5df-ece8-4674-b4d0-e9e31badb5c7.geojson,2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,GeoJSON
https://catalog.data.gov/dataset/national-institutes-of-public-safety-dataset-2020-2b6e21c7/resource/b4cdbe9f-cf68-432b-b1f8-f647c690239a.pdf,2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,PDF
https://catalog.data.gov/dataset/national-institutes-of-public-safety-dataset-2020-2b6e21c7/resource/7a1f0fd2-d98e-486e-bb95-477e0dcedb41.json,2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,JSON
https://catalog.data.gov/dataset/urban-science-research-trends-2010-2011-fb6c6e3f/resource/0d7ec271-3147-4135-b80f-b5cf69cb1061.xlsx,fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,XLSX
https://catalog.data.gov/dataset/urban-science-research-trends-2010-2011-fb6c6e3f/resource/cc1d9f80-dc05-4c39-8da8-f783d3ca5756.rdf,fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,RDF
https://catalog.data.gov/dataset/urban-science-research-trends-2010-2011-fb6c6e3f/resource/5ad411bd-a9da-446d-8674-a4ed3cc47a64.xml,fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,XML
https://catalog.data.gov/dataset/business-statistics-by-zip-code-2010-0181dcaa/resource/914c7a4b-e710-4ec4-89f2-deac5be4e5bc.shp,0181dcaa-499b-41fc-9682-7b85c0998274,SHP
https://catalog.data.gov/dataset/climate-indicators-dashboard-c666bde7/resource/69e8de10-72ab-44a0-804c-0b8d5d4e7b38.xml,c666bde7-6ffa-451b-a373-29c669a84ae6,XML
https://catalog.data.gov/dataset/climate-indicators-dashboard-c666bde7/resource/10e0cec0-8e0e-4b24-8973-292cd9e682ec.geojson,c666bde7-6ffa-451b-a373-29c669a84ae6,GeoJSON
https://catalog.data.gov/dataset/nasa-labor-dataset-2022-3aa35ff4/resource/bc790620-b6a9-4b95-ab35-821ccc6f7615.csv,3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,CSV
https://catalog.data.gov/dataset/nasa-labor-dataset-2022-3aa35ff4/resource/7b3d5397-d60f-416c-818c-accc280bc72e.tsv,3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,TSV
https://catalog.data.gov/dataset/national-social-services-trends-2015-2016-c2f01a0a/resource/e76c00c4-5002-45dc-b8b9-c6b4d36b981a.rdf,c2f01a0a-1aca-40c2-905d-0bb1a0555e78,RDF
https://catalog.data.gov/dataset/national-social-services-trends-2015-2016-c2f01a0a/resource/e1eec9c8-9cb7-4580-a2e5-8fc94eb49343.kml,c2f01a0a-1aca-40c2-905d-0bb1a0555e78,KML
https://catalog.data.gov/dataset/national-social-services-trends-2015-2016-c2f01a0a/resource/7d087562-22c7-4007-8e21-4a009d29b22a.json,c2f01a0a-1aca-40c2-905d-0bb1a0555e78,JSON
https://catalog.data.gov/dataset/national-social-services-trends-2015-2016-c2f01a0a/resource/bbb58113-2817-4780-9397-cb4aa3b05fd9.zip,c2f01a0a-1aca-40c2-905d-0bb1a0555e78,ZIP
